-11	-114	-67	-30	-100	-139	-101	-60	-99	-25
-67	-138	-91	-74	-131	-28	-52	-15	-109	-19
-63	-84	-13	-131	-60	-88	-115	-85	-79	-26
-91	-94	-79	-88	-52	-149	-89	-147	-75	-112
-153	-15	-132	-95	-149	-72	-11	-52	-114	-111
-133	-137	-139	-86	-134	-135	124	-15	-48	-154
-138	-11	-94	-76	-125	-82	-87	-120	-97	0
-74	-18	-131	-125	-116	-159	-120	-87	-124	-110
0	-138	-88	-119	-137	-106	-131	-73	-131	38
-48	-81	-150	-72	-28	-67	-127	-123	-123	-152
-135	-89	-112	-30	-134	-71	-100	-81	-115	-76
-77	0	-72	-161	-134	-78	-112	-139	-100	-116
-71	-12	-73	-126	-84	-11	-97	-126	-100	-162
-103	-88	-79	-97	-60	-11	-124	-78	0	-139
-96	-60	-13	-129	-68	-125	-148	-91	-82	-139
-88	-74	-127	-28	-67	-133	-66	-88	-46	-70
-59	-120	-102	-128	-107	-13	-86	-119	-105	-55
-98	-96	123	-19	106	-87	-124	-141	132	0
-65	-125	-115	-130	-155	-150	-79	-136	-17	-116
-65	-87	-84	-96	-132	-91	-116	-149	-131	-15
-124	-64	-135	-92	-111	-28	-83	-93	-70	-115
-120	-75	38	-104	-88	-125	-97	-87	-66	-87
-95	-125	-83	0	-102	-124	-11	-113	-150	-91
-73	-123	-22	-138	-159	-48	-95	-92	-67	-148
-151	127	-24	49	-76	-115	-73	-88	-99	-140
135	-25	-75	-126	-123	-134	-139	-148	-60	-143
-29	-131	-80	-39	-60	-107	-76	-74	0	-95
-55	-140	-35	-44	-26	-147	-101	-82	-82	-15
-112	-55	-124	-83	-60	-15	-132	-79	-24	-116
-117	-85	-75	-102	-75	-118	-135	-104	-60	-142
124	-25	103	-100	-71	-139	-83	-15	-104	-125
-14	-88	-107	-71	-90	-30	-71	-124	-109	-104
-137	-145	-83	-138	-31	-74	-127	-80	-101	-76
-150	-85	-52	-134	-149	-112	-93	130	-11	-146
-100	-99	-145	-163	-44	-145	-71	-24	-146	-140
-146	-138	-75	-115	-116	118	-25	-68	-126	-69
-104	-100	-91	-79	-147	129	-28	-59	-141	-120
-95	-88	-106	-67	-68	-117	-19	-108	-111	-120
-78	-99	-112	-90	-97	3	-121	-76	-60	133
-34	-78	-115	-120	-123	-139	-144	-57	-135	-38
-100	-84	-75	-118	0	-129	-77	-99	-86	-127
-82	-75	120	0	-73	-109	-75	-15	-140	-113
-79	-120	-145	-55	-136	-60	-12	-75	-96	-97
-91	-111	-84	-60	-137	-100	-96	-79	152	-18
37	-129	-62	-147	-104	-96	-90	-15	-96	-127
-122	-55	0	-55	-29	-52	-111	-92	-121	-113
-115	-15	-76	-113	-127	-60	-25	-116	-64	-26
-80	-125	-104	-126	-139	-143	-60	-141	-25	-138
-84	-95	-84	-113	-14	-60	13	-109	-119	-126
-163	-118	-75	-84	-68	-89	135	-19	-75	-68
-82	-91	-29	-146	-133	-60	-75	-107	-73	-118
-120	-152	-15	-44	-123	-74	-59	-26	-94	-100
-63	-154	-116	-83	-141	-14	-115	-118	-19	-128
-61	-112	-131	-100	-66	-124	-99	-68	-123	-22
-87	-108	-63	-112	-105	-60	-122	-96	-85	-128
130	-15	29	-129	-54	-104	-94	-138	-75	-147
0	93	-83	-105	-90	-96	-63	-82	-29	-101
-116	-12	-119	-112	-55	-64	-142	-91	-52	-90
-81	0	-62	-155	-29	-111	-61	-144	-72	-89
-117	-66	-151	-106	-71	-101	-68	-125	-116	137
-24	-130	-52	-108	-75	-124	-139	-92	-151	-120
-146	-18	-55	-126	-56	-30	-78	-111	-103	-76
-107	-88	-75	-112	-129	127	-28	64	-59	-133
-102	-22	-92	-18	-148	-101	-64	-138	133	-23
-120	-101	-85	-22	-132	-131	-100	-85	-76	-124
-131	-27	-131	-83	-28	37	-129	-92	-130	-152
-135	-73	-131	-29	97	-77	-100	-23	-96	-65
-88	133	-11	-134	-131	-132	-147	-106	-91	-23
-116	-11	-136	-74	-44	-129	-111	-124	-15	-60
-127	-78	0	-116	-115	-79	-105	-77	128	-19
92	-69	-38	-60	-83	-77	-83	-26	-135	-142
-115	-156	-76	-85	-73	-135	-15	-144	-85	-75
0	-103	-82	-149	-97	-100	-74	-111	-117	-100
-97	-170	-28	-89	-124	-129	0	-101	-85	-68
-136	-111	-89	-126	-87	-25	-68	-125	-56	-30
-137	-60	-89	-106	-114	-75	-120	-60	-110	-139
123	-13	41	-122	-90	-95	-120	-75	-89	-74
-76	-73	-79	-24	-139	-112	-126	-156	-101	-68
-82	-131	-23	-149	-72	-79	-24	-120	-89	-65
-91	-111	-100	-121	-139	-23	-116	-15	-88	-117
-131	-24	-63	-139	-104	-107	-80	-93	-59	-68
-18	-87	-55	-134	-86	-150	-44	-125	-71	-28
-59	-59	-56	-12	-147	-129	-83	-144	-147	-73
-141	-23	152	0	90	53	30	75	109	83
45	71	25	56	110	76	63	102	28	39
4	85	19	51	69	13	102	35	66	83
70	65	26	76	78	63	73	39	119	70
115	60	90	118	15	99	76	119	54	11
39	89	88	107	106	109	71	106	106	-87
15	36	123	108	11	78	57	101	68	68
96	80	0	63	18	102	100	94	128	90
68	99	86	0	110	73	92	106	87	103
58	102	-38	36	56	120	54	28	54	102
100	97	121	105	74	84	30	105	58	81
66	91	63	62	0	57	127	108	63	84
109	81	87	56	12	62	102	70	11	76
102	75	129	81	73	65	80	45	11	99
62	0	109	78	45	13	103	57	97	118
72	69	108	66	63	99	28	56	107	40
66	27	57	48	90	83	103	83	13	72
94	82	44	79	72	-85	19	-76	69	93
112	-95	0	52	100	92	104	124	120	64
108	17	87	52	68	69	72	102	72	87
119	102	15	99	48	105	77	87	28	71
78	57	90	97	60	-38	78	60	100	81
68	53	68	80	101	53	0	83	100	11
88	120	73	58	95	22	109	128	36	75
77	54	118	122	-89	24	-33	57	91	62
66	77	105	-98	25	62	101	100	108	108
118	45	115	29	102	67	20	45	83	63
59	0	77	44	111	35	33	26	114	82
68	67	15	84	44	100	66	45	15	107
63	24	87	91	70	62	83	64	96	105
85	45	113	-86	25	-73	82	56	110	68
15	85	101	1	66	76	57	75	30	58
99	86	78	106	115	68	110	31	63	99
67	83	57	120	70	39	104	118	84	78
-93	11	117	75	83	115	130	33	117	56
24	117	105	117	108	60	92	87	-81	25
51	98	58	78	82	72	66	118	-92	28
48	113	90	76	72	87	54	57	95	19
89	87	90	63	77	90	71	80	-18	97
63	45	-96	34	65	90	97	97	108	114
46	105	19	75	60	64	96	0	100	64
80	71	103	69	60	-83	0	62	85	61
15	111	88	63	90	112	44	108	45	12
60	72	80	72	87	69	45	109	81	72
62	-114	18	-23	101	51	114	85	72	73
15	80	99	97	32	0	44	29	39	86
69	98	88	91	15	63	88	99	45	25
91	48	26	67	100	81	100	108	113	45
113	25	109	71	76	69	89	1	45	-13
88	95	101	130	96	60	70	51	74	-98
19	60	57	69	73	29	117	107	45	62
88	62	96	90	117	15	33	95	59	48
26	78	75	50	123	87	68	112	14	90
94	19	102	50	84	101	81	53	93	77
57	95	22	74	90	52	90	83	45	98
79	70	99	-92	15	-16	104	31	78	63
108	60	119	0	-64	70	86	75	72	50
67	29	82	87	12	93	84	44	51	112
72	39	75	67	0	50	120	29	88	50
114	54	74	94	55	121	87	58	82	57
101	87	-100	24	101	39	89	60	100	109
73	122	90	117	18	44	102	42	30	63
87	86	57	83	73	60	84	100	-89	28
-41	48	103	84	7	69	7	118	82	51
109	-96	23	90	83	70	22	107	103	81
68	57	100	102	27	106	67	28	-24	104
69	104	121	105	58	103	29	-68	64	81
8	72	52	73	-96	11	108	103	107	115
87	77	8	87	11	108	59	33	100	86
100	15	49	103	64	0	94	90	62	86
64	-90	19	-63	56	19	45	59	64	68
26	109	114	90	124	57	71	58	106	15
114	67	60	0	80	67	119	79	75	60
86	95	75	80	135	28	73	99	101	0
79	70	57	108	87	70	102	70	25	57
101	42	30	109	45	73	87	90	60	97
45	86	109	-85	13	-26	98	73	76	96
60	74	46	57	49	62	24	113	84	101
124	82	54	67	102	23	119	54	64	24
90	74	52	73	87	81	94	108	8	87
15	72	92	103	24	51	108	85	85	66
74	35	51	18	69	44	106	72	117	33
97	56	28	48	35	42	12	118	104	67
114	114	62	113	8	-114
